                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7865,                 3.1465,                 2.1398,                 0.0025,                0.42857,                0.01145,                0.00552,                 7.1112,                 12.806,                 7.3967,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8411,                 2.8715,                 2.0511,                0.00083,                0.14286,                0.00229,                0.00069,                 7.3386,                 12.678,                 7.4046,               0.001307,               0.001307,               0.001307
                     37,                 1.7453,                 3.1541,                 2.0752,                 0.0025,                0.42857,                0.00266,                0.00056,                 6.5889,                 10.498,                 6.1479,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.0027,                 3.0259,                 2.2108,                0.00417,                0.71429,                0.01001,                0.00214,                 5.8779,                 9.7818,                 6.1929,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.6941,                 2.7097,                  2.047,                  0.005,                0.85714,                0.00978,                0.00198,                 6.3109,                 10.154,                   6.83,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.6607,                 2.7582,                 1.9958,                  0.005,                0.85714,                0.01155,                0.00309,                 5.6534,                 9.6099,                 6.1649,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.747,                 2.6233,                 2.0032,                0.00583,                      1,                0.02745,                0.01305,                 3.7207,                 8.6302,                 4.0871,               0.001208,               0.001208,               0.001208
                     42,                 1.5524,                 2.6513,                 2.0022,                 0.9163,                0.42857,                0.57057,                0.31214,                 2.5938,                 6.4179,                  2.966,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.5873,                 2.4707,                 1.9695,                0.99172,                0.71429,                0.84087,                0.54673,                 2.4635,                 5.2034,                 3.0446,              0.0011684,              0.0011684,              0.0011684
                     44,                  1.775,                 2.8178,                 2.1266,                0.85618,                0.85138,                  0.933,                0.67096,                 2.2931,                 3.4231,                 2.8206,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.688,                 2.5376,                 2.0649,                0.85701,                0.85634,                0.84802,                0.61165,                 2.1633,                 3.4571,                 2.7593,              0.0011288,              0.0011288,              0.0011288
                     46,                  1.695,                 2.3632,                 2.0468,                      1,                0.56825,                0.73661,                0.54327,                 2.2034,                 3.8666,                 2.7514,               0.001109,               0.001109,               0.001109
                     47,                  1.761,                 2.4437,                 2.0415,                      1,                0.56096,                0.76511,                0.53637,                 2.4616,                 3.6784,                 2.7263,              0.0010892,              0.0010892,              0.0010892
                     48,                  1.544,                  2.448,                 2.0261,                 0.9659,                      1,                  0.995,                0.72938,                 2.2397,                 3.1585,                 2.8666,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.469,                 2.3712,                 1.9804,                      1,                0.82862,                 0.9775,                0.71912,                  2.343,                 3.1406,                 2.8077,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.5662,                  2.082,                 1.9775,                0.76555,                0.93711,                0.94389,                0.69639,                 2.2524,                 3.4949,                 2.7453,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.6968,                 2.3045,                 2.0881,                0.76724,                0.94582,                0.94389,                 0.6762,                 2.4595,                 3.5911,                 2.9986,                0.00101,                0.00101,                0.00101
                     52,                 1.5612,                 2.2135,                  2.057,                0.76879,                      1,                0.90944,                0.66459,                 2.2549,                 3.2063,                 2.7612,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.6143,                 2.2132,                 1.9609,                0.86206,                      1,                 0.9775,                0.73313,                 2.0359,                 2.7796,                 2.6157,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.5961,                 2.3205,                 2.0514,                0.98532,                      1,                  0.995,                0.79029,                 1.7092,                 2.3958,                 2.4439,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.5752,                 2.1549,                 1.9929,                0.95846,                      1,                  0.995,                0.75768,                 1.6963,                 2.3164,                 2.3991,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.6747,                 2.0752,                 2.0066,                0.99389,                0.71429,                0.88533,                0.60817,                 2.1063,                 2.9175,                 2.5968,               0.000911,               0.000911,               0.000911
                     57,                 1.5249,                 2.2383,                 1.9828,                0.85458,                0.84176,                0.89265,                0.62138,                 2.2464,                 3.0558,                 2.6559,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.5453,                 2.1355,                 2.0324,                      1,                0.70048,                0.89742,                0.59505,                 2.4246,                 2.9278,                 2.6422,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.3027,                 2.0014,                 1.9145,                0.77242,                0.97247,                0.93278,                0.63806,                 2.0764,                 2.4831,                  2.521,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.5327,                 2.0277,                 2.0484,                0.96642,                      1,                  0.995,                0.73815,                 2.1454,                 2.2861,                 2.8633,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.6525,                 2.1831,                 2.0742,                0.96763,                0.85714,                0.96389,                0.72594,                  2.193,                 2.4463,                 2.9001,               0.000812,               0.000812,               0.000812
                     62,                 1.5403,                 1.9208,                 1.9987,                0.71902,                0.85714,                0.88576,                0.63209,                 2.2116,                 2.7139,                   2.96,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4638,                  2.085,                 1.9934,                0.76831,                0.95132,                0.88444,                0.59996,                 2.2902,                 2.7127,                 2.9928,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.5412,                  2.075,                 2.0582,                      1,                0.82931,                0.94409,                0.73682,                 1.9332,                 2.3747,                 2.5351,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4834,                 1.8819,                 1.9648,                      1,                0.83697,                0.94409,                0.74196,                 1.8272,                 2.2804,                 2.3807,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.5877,                 2.0431,                 2.0268,                      1,                0.84326,                  0.953,                0.74252,                 1.8564,                 2.1853,                 2.3451,               0.000713,               0.000713,               0.000713
                     67,                 1.3681,                 2.1116,                 1.9357,                0.99808,                0.85714,                  0.953,                0.74372,                 1.8531,                 2.0903,                 2.3418,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.6778,                 2.2154,                 2.0269,                      1,                 0.8506,                0.96389,                0.75249,                 1.8982,                 2.0886,                 2.3924,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.3932,                 2.0305,                 1.9535,                      1,                0.83829,                0.96389,                0.72785,                 1.9951,                 2.0025,                 2.4534,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.4798,                 1.8738,                 2.0331,                0.87204,                0.97629,                 0.9775,                0.74373,                 2.0239,                 2.0122,                 2.4602,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.3867,                 1.9477,                  1.983,                 0.8738,                0.99042,                 0.9775,                0.73589,                 2.0259,                 2.0274,                 2.5021,               0.000614,               0.000614,               0.000614
                     72,                 1.3197,                  1.622,                 1.8818,                0.87129,                0.97031,                 0.9775,                0.73361,                 1.9036,                 1.9856,                 2.4167,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.3828,                 1.9519,                  1.949,                0.87348,                0.98783,                 0.9775,                0.73562,                 1.9032,                 1.9708,                 2.4606,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.3287,                 1.6323,                 1.8715,                0.87391,                0.99129,                 0.9775,                0.74549,                 1.9638,                 1.9209,                 2.5718,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2798,                 1.6587,                 1.8551,                0.87399,                0.99192,                 0.9775,                0.74459,                 2.0015,                 1.9141,                 2.6315,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.4469,                 1.7204,                 1.9056,                      1,                0.99129,                  0.995,                0.72126,                 2.1487,                 1.7894,                 2.8538,               0.000515,               0.000515,               0.000515
                     77,                 1.3514,                 1.6129,                 1.8864,                0.99563,                      1,                  0.995,                0.71536,                 2.1808,                 1.7286,                 2.9586,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2655,                 1.4627,                 1.8607,                0.95543,                      1,                  0.995,                0.73768,                 2.2168,                 1.7332,                  3.042,              0.0004754,              0.0004754,              0.0004754
                     79,                  1.411,                 1.7698,                 2.0217,                0.95029,                      1,                  0.995,                0.70288,                 2.2358,                 1.7428,                 3.1306,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2042,                 1.5161,                 1.8884,                0.86405,                      1,                   0.96,                  0.678,                 2.2316,                 1.8013,                 3.3124,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2755,                  1.719,                 1.8932,                0.85859,                      1,                   0.96,                0.69385,                 2.2224,                 1.7863,                 3.3434,               0.000416,               0.000416,               0.000416
                     82,                 1.1894,                 1.5309,                  1.846,                      1,                0.94881,                  0.995,                0.72443,                   2.22,                 1.7855,                 3.3198,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2495,                 1.5816,                 1.8168,                      1,                0.96191,                  0.995,                0.72464,                 2.1798,                 1.8207,                 3.2296,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.3197,                 1.5701,                 1.9567,                      1,                0.96868,                  0.995,                 0.7219,                 2.1567,                 1.7349,                 3.2434,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2336,                 1.5431,                 1.8587,                0.86523,                      1,                 0.9775,                0.70974,                 2.1408,                 1.7314,                 3.1854,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2912,                 1.7802,                 1.9436,                0.86903,                      1,                 0.9775,                0.71002,                 2.1461,                 1.7355,                 3.1475,               0.000317,               0.000317,               0.000317
                     87,                 1.2941,                 1.5964,                 1.8746,                0.87392,                 0.9914,                 0.9775,                0.73504,                 2.1655,                 1.7649,                 3.1074,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.2219,                   1.52,                 1.8722,                      1,                0.84022,                0.96389,                0.72706,                 2.1715,                 1.8025,                 3.0342,              0.0002774,              0.0002774,              0.0002774
